label,id,label
EO6,479,Inlet T1
E9,480,Inlet T2
E12,481,Inlet T3
E20,483,Inlet T5
E15,484,Inlet T4
H3,485,Inlet T6
H6,486,Inlet T7
H15,489,Inlet T10
H19,490,Inlet T11
H22,491,Inlet T12
H25,492,Inlet T13
H9,493,Inlet T8
H12,494,Inlet T9
K1,495,Inlet T14
K4,496,Inlet T15
K8,497,Inlet T16
K8,498,Outlet T17
K9,499,Inlet T18
K9,500,Outlet T19
K11,501,Inlet T20
K11,502,Outlet T21
K12,503,Inlet T22
K12,504,Outlet T23
K15,505,Inlet T24
K19,506,Inlet T25
K22,507,Inlet T26
K25,508,Inlet T27
N1,509,Inlet T28
N1,510,Outlet T29
N2,511,Inlet T30
N2,512,Outlet T31
N5,513,Inlet T32
N10,514,Inlet T33
N14,515,Inlet T34
N19,516,Inlet T35
N22,517,Inlet T36
N25,518,Inlet T37
Q1,519,Inlet T38
Q4A,520,Ambient T39
Q8,521,Inlet T40
Q11,522,Inlet T41
Q13,523,Inlet T42
Q20,524,Inlet T43
Q23,525,Inlet T44
Q25,526,Inlet T45
